stage,selector,sweep,threshold,target_fraction,trial,num_splats,total_splats,fraction,compression_ratio,avg_opacity_kept,avg_opacity_all,splat_mem_mb,confidence_mem_mb,render_mem_mb,psnr,ssim,lpips,render_time_s,avg_conf_kept,avg_conf_all,psnr_base,ssim_base,lpips_base,psnr_drop,ssim_drop,lpips_delta,scene,variant,config,result_dir
val,confidence,budget,,1.0,0,8151942,8151942,1.0,1.0,0.2599181532859802,0.2599181532859802,1896.9286422729488,62.19438171386719,1834.734260559082,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0099716484546661,0.0981157422065734,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0,0.0,0.0,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,0.75,0,6113956,8151942,0.7499999386649218,1.3333334423734813,0.3432601988315582,0.2599181532859802,1422.6963653564453,46.645782470703125,1376.0505828857422,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0083390275637308,0.1308209896087646,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0,0.0,0.0,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,0.5,0,4075971,8151942,0.5,2.0,0.5095449090003967,0.2599181532859802,948.4643211364746,31.097190856933597,917.367130279541,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0065352022647857,0.196231409907341,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0,0.0,0.0,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,0.35,0,2853180,8151942,0.3500000368010469,2.857142556726179,0.7091161608695984,0.2599181532859802,663.9250946044922,21.768035888671875,642.1570587158203,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0054314235846201,0.2803305387496948,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0,0.0,0.0,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,0.25,0,2037986,8151942,0.2500000613350782,3.9999990186389898,0.8100307583808899,0.2599181532859802,474.2322769165039,15.548599243164062,458.68367767333984,27.03929901123047,0.855923056602478,0.087100550532341,0.0044752359390258,0.3875858187675476,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,0.0884513854980468,0.0008793473243713,0.0005162060260772,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,0.15,0,1222791,8151942,0.1499999631989531,6.666668302269153,0.8755543828010559,0.2599181532859802,284.5392265319824,9.32915496826172,275.2100715637207,23.96438217163086,0.7869989275932312,0.1323772519826889,0.0034020443757375,0.4748609364032745,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,3.163368225097656,0.0698034763336181,0.0457929074764251,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,0.1,0,815194,8151942,0.0999999754659687,10.000002453403727,0.8889678120613098,0.2599181532859802,189.69281768798828,6.2194366455078125,183.47338104248047,19.918609619140625,0.6518527269363403,0.2224698960781097,0.0027416745821634,0.5245957970619202,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,7.209140777587891,0.204949676990509,0.135885551571846,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,0.05,0,407597,8151942,0.0499999877329843,20.000004906807455,0.8786141872406006,0.2599181532859802,94.84640884399414,3.1097183227539062,91.73669052124023,14.90133285522461,0.4235924184322357,0.3904223144054413,0.0020586252212524,0.615831732749939,0.0981157422065734,27.12775039672852,0.8568024039268494,0.0865843445062637,12.226417541503906,0.4332099854946136,0.3038379698991775,garden,default_full_beta,default,/scratch/amirrz/results/cs_resubmit/garden/default_full_beta
val,confidence,budget,,1.0,0,5540829,5540829,1.0,1.0,0.3809724450111389,0.3809724450111389,1289.331699371338,42.273170471191406,1247.0585289001465,27.37754821777344,0.8633615374565125,0.0774391666054725,0.0075842440128326,0.8096300363540649,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,0.0,0.0,0.0,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
val,confidence,budget,,0.75,0,4155622,5540829,0.7500000451196022,1.333333253120712,0.3237308859825134,0.3809724450111389,966.9988327026368,31.704879760742188,935.2939529418944,17.14577293395996,0.5429343581199646,0.3478192687034607,0.0050998926162719,0.925791084766388,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,10.231775283813477,0.3204271793365478,0.2703801020979881,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
val,confidence,budget,,0.5,0,2770414,5540829,0.4999999097607957,2.000000360956882,0.221971109509468,0.3809724450111389,644.6657333374023,21.13658142089844,623.5291519165039,8.592765808105469,0.1163381785154342,0.6005449295043945,0.0029158691565195,1.0,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,18.78478240966797,0.7470233589410782,0.523105762898922,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
val,confidence,budget,,0.35,0,1939290,5540829,0.3499999729282387,2.857143078136844,0.2437075078487396,0.3809724450111389,451.2660598754883,14.795608520507812,436.47045135498047,8.109940528869629,0.0828387662768364,0.622930109500885,0.0021705230077107,1.0,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,19.26760768890381,0.7805227711796761,0.5454909428954124,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
val,confidence,budget,,0.25,0,1385207,5540829,0.2499999548803978,4.000000721913764,0.2620184123516083,0.3809724450111389,322.3328666687012,10.56829071044922,311.76457595825195,7.908726692199707,0.0668320655822753,0.6366147994995117,0.0017187595367431,1.0,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,19.46882152557373,0.7965294718742371,0.5591756328940392,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
val,confidence,budget,,0.15,0,831124,5540829,0.149999936832557,6.66666947410976,0.293041855096817,0.3809724450111389,193.3996734619141,6.340972900390625,187.05870056152344,7.598972320556641,0.0470549389719963,0.6629065275192261,0.0013381143411,1.0,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,19.7785758972168,0.8163065984845161,0.5854673609137535,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
val,confidence,budget,,0.1,0,554083,5540829,0.1000000180478408,9.99999819521624,0.3094489574432373,0.3809724450111389,128.9331932067871,4.227317810058594,124.70587539672852,7.358795166015625,0.0329781584441661,0.6935644149780273,0.0011925399303436,1.0,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,20.01875305175781,0.8303833790123463,0.6161252483725548,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
